PeakF	MaxF	MinF	StartF	EndF	Inflec	PRR	Sound	Dur	BW	RangeF	TrendF
559.9	659.6	203.8	559	559	0	14	RA	0.573	455.8	3.236506379	1
559.9	645	219.3	559	559	0	18	RA	0.751	425.7	2.941176471	1
301.5	653.7	217	301	301	0	14	RA	0.444	436.7	3.012442396	1
430.7	665.4	214.8	430	430	0	14	RA	0.481	450.6	3.097765363	1
473.7	662.5	217	387	387	0	12	RA	0.399	445.5	3.052995392	1
516.8	662.5	219.3	559	559	0	14	RA	0.519	443.2	3.020975832	1
559.9	613.5	223.7	559	559	0	14	RA	0.471	389.8	2.742512293	1
516.8	613.5	221.5	559	559	0	16	RA	0.61	392	2.769751693	1
559.9	613.5	214.8	559	559	0	12	RA	0.407	398.7	2.856145251	1
602.9	833.1	432.2	476	432.2	1	0	HMM	0.993	400.9	1.927579824	1.101341971
1119.7	2236.3	1077.4	1077.4	2236.3	0	0	HSH	1.384	1158.9	2.075645071	0.481777937
1851.9	2436.8	1791.6	1791.6	2436.8	0	0	HSQ	0.261	645.2	1.360125028	0.735226527
1938	2449.3	1754	1754	2449.3	0	0	HSQ	0.235	695.3	1.39640821	0.716122974
2627.1	2719.7	2257.1	2719.7	2257.1	0	0	BW	0.142	462.6	1.204953259	1.204953259
2454.8	2604.5	2321	2321	2604.5	0	0	BW	0.157	283.5	1.122145627	0.891149933
2928.5	2985.5	2667.9	2893	2985.5	1	0	BW	0.274	317.6	1.119044942	0.969016915
2885.4	3056.3	2746.3	3056.3	2746.3	0	0	BW	0.118	310	1.112879146	1.112879146
2627.1	2675.4	2391.9	2627	2627	0	0	BW	0.12	283.5	1.118525022	1
430.7	479.2	332	332	479.2	3	0	MM	1.902	147.2	1.443373494	0.692821369
215.3	469.8	59.5	59.5	469.8	0	0	BA	0.979	410.3	7.895798319	0.126649638
430.7	494.9	306.9	306.9	445	4	0	MM	1.828	188	1.612577387	0.689662921
215.3	413.4	72	72	413.4	0	0	BA	0.905	341.4	5.741666667	0.174165457
172.3	241.2	94	241.2	94	0	0	GR	0.499	147.2	2.565957447	2.565957447
172.3	256.8	106.5	256.8	106.5	0	0	GR	0.351	150.3	2.411267606	2.411267606
172.3	260	90.8	260	90.8	0	0	GR	0.407	169.2	2.863436123	2.863436123
172.3	260	37.6	260	37.6	0	0	GR	0.499	222.4	6.914893617	6.914893617
