PeakF	MaxF	MinF	StartF	EndF	Inflec	PRR	Sound	Dur	BW	RangeF	TrendF
1534.2	1615.6	1458.3	1615.6	1458.3	0	0	BW	0.194	157.3	1.107865323	1.107865323
96.9	324.1	75.5	75.5	324.1	0	0	WO	0.258	248.6	4.292715232	0.232952792
1641.9	2049.6	1478.5	2049.6	1743	1	0	BW	0.194	571.1	1.386269868	1.175903614
177.6	645	78.7	78.7	645	0	0	WO	0.438	566.3	8.195679797	0.122015504
1975.7	2226.2	1663	2226.2	1865	1	0	BW	0.231	563.2	1.338665063	1.193672922
215.3	503.4	53.5	53.5	503.4	0	0	WO	0.384	449.9	9.409345794	0.106277314
1604.2	2135	1571.8	2135	2135	1	0	BW	0.218	563.2	1.358315307	1
113	522.3	57.8	57.8	522.3	0	0	WO	0.483	464.5	9.03633218	0.110664369
1485.8	3696.7	1457.3	3696.7	3696.7	1	0	BW	0.221	2239.4	2.536677417	1
96.9	632.4	56.6	56.6	632.4	0	0	WO	0.398	575.8	11.17314488	0.089500316
1685	3623.4	1591.2	3623.4	3623.4	1	0	BW	0.185	2032.2	2.277149321	1
172.3	594.7	75.5	75.5	594.7	0	0	WO	0.283	519.2	7.876821192	0.126954767
1954.1	2853	1872.8	2853	2154	1	0	BW	0.208	980.2	1.523387441	1.324512535
215.3	638.7	72.4	72.4	638.7	0	0	WO	0.443	566.3	8.821823204	0.113355253
1690.4	2918.3	1566.8	2918.3	2918.3	1	0	BW	0.24	1351.5	1.862586163	1
215.3	497.1	75.5	75.5	497.1	0	0	WO	0.381	421.6	6.58410596	0.151880909
2648.6	2918.2	2115.8	2918.2	2918.2	1	0	BW	0.197	802.4	1.379241894	1
559.9	3788.3	531.7	654	3247	2	0	ASH	0.868	3256.6	7.124882453	0.201416692
2530.2	4047.4	2114.4	2114.4	2718	3	0	MW	1.152	1933	1.91420734	0.777924945
538.3	2265.4	478.3	818	2265.4	2	0	ASH	0.901	1787.1	4.736357934	0.361084135
2460.2	3524	1404.7	1404.7	2542	6	0	MW	1.198	2119.3	2.508720723	0.552596381
554.5	3417.4	507.3	667	3417.4	1	0	ASH	1.034	2910.1	6.736447861	0.19517762
1076.7	4090.3	1019.4	1019.4	3235	4	0	MW	1.048	3070.9	4.012458309	0.31511592
586.8	3914.1	528.6	654	2731	2	0	ASH	1.109	3385.5	7.404653802	0.239472721
559.9	863.4	502.1	771	800	35	0	E	5.21	361.3	1.719577773	0.96375
236.9	270.7	211.8	241	231	9	0	SI	2.861	58.9	1.27809254	1.043290043
242.2	272.6	206.6	220	246	5	0	MSI	1.487	66	1.31945789	0.894308943
328.4	356.9	154.4	154.4	317	1	0	AM	1.432	202.5	2.311528497	0.487066246
134.6	153.5	78.6	78.6	78.6	2	0	VI	0.517	74.9	1.952926209	1
113	154.4	98	125	98	2	0	VI	0.527	56.4	1.575510204	1.275510204
376.8	391.1	158.1	158.1	306	1	0	AM	1.302	233	2.473750791	0.516666667
113	166.4	94.3	120	131	2	0	VI	0.481	72.1	1.764581124	0.916030534
140	153.5	87.8	119	140	2	0	VI	0.582	65.7	1.748291572	0.85
236.9	379.1	157.2	157.2	291	1	0	AM	1.357	221.9	2.411577608	0.540206186
86.1	155.3	75.8	102	95	2	0	VI	0.564	79.5	2.048812665	1.073684211
123.8	154.4	75.8	109	96	2	0	VI	0.536	78.6	2.036939314	1.135416667
118.4	195.1	59.2	59.2	195.1	0	0	LBA	2.346	135.9	3.295608108	0.303434136
123.8	218.2	62.9	62.9	218.2	0	0	BA	1.182	155.3	3.46899841	0.288267644
258.4	354.3	171.3	215	311	2	0	AM	1.229	183	2.068301226	0.691318328
376.8	681.2	223.6	223.6	681.2	0	0	WO	0.213	457.6	3.046511628	0.328244275
290.7	716.5	235.4	235.4	716.5	0	0	WO	0.287	481.1	3.04375531	0.328541521
258.4	362.2	154.3	181	264	2	0	AM	1.256	207.9	2.347375243	0.685606061
236.9	601.5	197.4	197.4	601.5	0	0	WO	0.222	404.1	3.047112462	0.328179551
328.4	829	268	268	829	0	0	WO	0.259	561	3.093283582	0.323281062
312.2	330.8	156.9	191	330.8	1	0	AM	1.274	173.9	2.108349267	0.57738815
414.5	805	199.6	199.6	805	0	0	WO	0.231	605.4	4.033066132	0.247950311
328.4	621.9	312.1	312.1	621.9	0	0	WO	0.295	309.8	1.992630567	0.501849172
441.4	629.3	217.3	217.3	629.3	0	0	BLW	3.658	412	2.895996318	0.345304306
75.4	95.2	65.2	65.2	95.2	0	0	CRK	0.392	30	1.460122699	0.68487395
75.4	84.5	64.5	64.5	84.5	0	0	CRK	0.386	20	1.310077519	0.763313609
75.4	83.7	60	60	60	1	0	CRK	0.542	23.7	1.395	1
70	81.9	49.3	67	49.3	1	0	CRK	0.614	32.6	1.661257606	1.359026369
118.4	131.1	102.2	102.2	120	0	0	MM	1.293	28.9	1.282778865	0.851666667
290.7	393.8	204.9	204.9	393.8	0	0	PRR	1.594	188.9	1.921913128	0.520314881
118.4	134.1	106	116	118	2	0	MM	1.384	28.1	1.26509434	0.983050847
328.4	392.3	214.5	214.5	392.3	0	0	PRR	1.867	177.8	1.828904429	0.546775427
70	84.5	45.9	84.5	45.9	0	0	CRK	0.79	38.6	1.840958606	1.840958606
70	85.9	44.5	85.9	44.5	0	0	CRK	0.679	41.4	1.930337079	1.930337079
64.6	80.8	44.5	80.8	44.5	0	0	CRK	0.778	36.3	1.815730337	1.815730337
70	79.3	39.3	79.3	39.3	0	0	CRK	0.725	40	2.017811705	2.017811705
91.5	107.9	79.6	88	90	3	0	MM	2.652	28.3	1.355527638	0.977777778
172.3	225.3	121.5	121.5	121.5	0	0	TRR	1.861	103.8	1.854320988	1
118.4	192.6	93.4	150	192.6	2	0	AM	0.382	99.2	2.062098501	0.778816199
716	1034.3	243	243	1034.3	2	0	TR	0.65	791.3	4.256378601	0.234941506
716	1123.2	168.9	168.9	1123.2	2	0	TR	0.613	954.3	6.65008881	0.150373932
748.3	1075.8	213.4	213.4	1075.8	2	0	TR	0.545	862.4	5.041237113	0.198364008
183	197	115.3	115.3	197	1	0	AM	0.533	81.7	1.708586297	0.585279188
118.4	142.5	101.6	142.5	142.5	0	0	GR	0.167	40.9	1.402559055	1
118.4	144.6	93.3	144.6	93.3	0	0	GR	0.186	51.3	1.549839228	1.549839228
102.3	124.7	83.8	124.7	124.7	0	0	GR	0.163	40.9	1.488066826	1
107.7	129.9	85.9	129.9	85.9	0	0	GR	0.182	44	1.512223516	1.512223516
86.1	123.6	70.2	123.6	70.2	0	0	GR	0.231	53.4	1.760683761	1.760683761
96.9	172.9	80.7	127	146	2	0	AM	0.398	92.2	2.142503098	0.869863014
102.3	139.4	74.4	139.4	74.4	0	0	GR	0.212	65	1.873655914	1.873655914
96.9	157.2	77.5	157.2	77.5	0	0	GR	0.228	79.7	2.028387097	2.028387097
91.5	147.7	72.3	147.7	72.3	0	0	GR	0.242	75.4	2.042876902	2.042876902
96.9	145.6	72.3	145.6	72.3	0	0	GR	0.235	73.3	2.013831259	2.013831259
80.7	131	67.1	131	67.1	0	0	GR	0.261	63.9	1.952309985	1.952309985
107.7	175.6	88.9	131	175.6	1	0	AM	0.439	86.7	1.975253093	0.746013667
716	1078.8	204.5	204.5	1078.8	2	0	TR	0.841	874.3	5.275305623	0.189562477
721.4	1356.7	171.3	171.3	1356.7	2	0	TR	0.582	1185.4	7.920023351	0.126262254
726.7	1131.5	156.4	156.4	1131.5	2	0	TR	0.587	975.1	7.234654731	0.138223597
1232.8	1359.7	935.9	1120	935.9	1	0	NSH	0.826	423.8	1.452826157	1.19670905
726.7	1018.9	153.5	153.5	1018.9	2	0	TR	0.577	865.4	6.637785016	0.150652665
742.9	941.8	156.4	156.4	941.8	2	0	TR	0.554	785.4	6.02173913	0.166064982
1178.9	1410.1	844	995	844	1	0	NSH	0.974	566.1	1.670734597	1.178909953
737.5	980.3	162.4	162.4	980.3	2	0	TR	0.555	817.9	6.036330049	0.165663572
726.7	805.5	177.2	177.2	805.5	2	0	TR	0.555	628.3	4.545711061	0.219987585
1475	1496	956.6	1194	956.6	1	0	NSH	1.131	539.4	1.563872047	1.248170604
656.8	972.1	118.5	118.5	972.1	2	0	TR	0.573	853.6	8.203375527	0.121901039
716	945.4	204.5	204.5	945.4	2	0	TR	0.577	740.9	4.622982885	0.216310556
1189.7	1345.5	847.6	847.6	847.6	1	0	NSH	1.016	497.9	1.587423313	1
748.3	775.4	285	775.4	285	0	0	NSH	1.316	490.4	2.720701754	2.720701754
366.1	469.4	243.1	243.1	469.4	1	0	AM	1.33	226.3	1.930892637	0.517895185
737.5	775.4	561.6	775.4	561.6	0	0	SSH	0.665	213.8	1.380698006	1.380698006
1022.8	1043.6	247.3	838	247.3	1	0	NSH	2.134	796.3	4.219975738	3.388596846
371.4	448.5	238.9	238.9	373	1	0	AM	1.228	209.6	1.877354542	0.640482574
1248.9	1496.3	1047.8	1253	1047.8	1	0	SSH	0.623	448.5	1.428039702	1.195838901
753.7	880.2	293.4	750	293.4	1	0	NSH	1.52	586.8	3	2.556237219
349.9	461	222.1	222.1	394	1	0	AM	1.524	238.9	2.075641603	0.563705584
850.6	1010.1	544.9	872	544.9	1	0	SSH	0.868	465.2	1.85373463	1.600293632
452.2	959.8	427.5	959.8	427.5	0	0	DC	1.313	532.3	2.245146199	2.245146199
473.7	767	377.2	767	377.2	1	0	DC	1.306	389.8	2.03340403	2.03340403
592.2	788	364.6	788	364.6	0	0	DC	1.828	423.4	2.161272628	2.161272628
500.6	759.6	377.2	759.6	377.2	0	0	DC	1.509	382.4	2.01378579	2.01378579
134.6	151.5	112.9	112.9	134	2	0	MM	1.404	38.6	1.341895483	0.842537313
382.2	407.1	193.4	193.4	407.1	0	0	PRR	1.952	213.7	2.104963806	0.475067551
134.6	155.1	110.8	110.8	127	3	0	MM	1.3	44.3	1.399819495	0.872440945
312.2	410.3	195.1	195.1	410.3	0	0	PRR	1.874	215.2	2.10302409	0.475505728
70	79.2	43.4	58	43.4	1	0	CRK	0.783	35.8	1.824884793	1.33640553
75.4	82	39.9	64	39.9	1	0	CRK	0.856	42.1	2.055137845	1.604010025
64.6	76.3	39.9	52	39.9	1	0	CRK	0.765	36.4	1.912280702	1.303258145
70	79.9	39.1	61	39.1	1	0	CRK	0.771	40.8	2.043478261	1.560102302
150.7	170.1	100.8	132	140	2	0	AM	0.938	69.3	1.6875	0.942857143
441.4	695.5	386.2	386.2	695.5	0	0	WO	0.189	309.3	1.800880373	0.555283968
398.4	691.4	335.6	335.6	691.4	0	0	WO	0.194	355.8	2.060190703	0.485391958
107.7	210.3	95	142	210.3	2	0	AM	0.665	115.3	2.213684211	0.675225868
113	186	91	186	91	0	0	GR	0.266	95	2.043956044	2.043956044
123.8	184	97	184	97	0	0	GR	0.282	87	1.896907216	1.896907216
107.7	178.9	84.9	178.9	84.9	0	0	GR	0.307	94	2.107184923	2.107184923
107.7	172.9	84.9	172.9	84.9	0	0	GR	0.346	88	2.036513545	2.036513545
102.3	164.8	78.8	164.8	78.8	0	0	GR	0.316	86	2.091370558	2.091370558
102.3	170.8	74.8	170.8	74.8	0	0	GR	0.328	96	2.28342246	2.28342246
107.7	196.1	91	150	196.1	2	0	AM	0.658	105.1	2.154945055	0.764915859
349.9	936.1	242.6	242.6	936.1	2	0	TR	0.644	693.5	3.858615004	0.259160346
242.2	847.1	177.9	177.9	847.1	2	0	TR	0.495	669.2	4.761663856	0.210010624
209.9	934	127.4	127.4	934	2	0	TR	0.704	806.6	7.331240188	0.13640257
441.4	562	319.4	319.4	441	13	0	SI	3.553	242.6	1.759549155	0.724263039
436	562	323.5	323.5	425	3	0	MSI	0.999	238.5	1.737248841	0.761176471
656.8	1395	626.7	724	886	1	0	NSH	1.59	768.3	2.225945428	0.817155756
581.4	679.3	481.2	679.3	481.2	0	0	DC	1.143	198.1	1.411679135	1.411679135
651.4	820.8	202.2	202.2	820.8	2	0	TR	0.532	618.6	4.059347181	0.246345029
753.7	1532.5	735.9	735.9	735.9	1	0	NSH	1.724	796.6	2.082484033	1
597.5	642.9	509.5	642.9	509.5	0	0	DC	0.81	133.4	1.261825319	1.261825319
726.7	1172.6	177.9	177.9	1172.6	2	0	TR	0.562	994.7	6.591343451	0.15171414
748.3	1423.3	501.4	501.4	914	1	0	NSH	1.646	921.9	2.838651775	0.548577681
576	788.5	485.2	788.5	485.2	0	0	DC	0.921	303.3	1.62510305	1.62510305
694.4	934	586.3	638	586.3	1	0	SSH	0.617	347.7	1.593041105	1.088180113
651.4	768.3	416.5	704	416.5	1	0	NSH	1.645	351.8	1.844657863	1.69027611
301.5	444.8	222.4	222.4	408	0	0	AM	1.544	222.4	2	0.545098039
689.1	740	533.7	740	533.7	0	0	SSH	0.464	206.3	1.386546749	1.386546749
672.9	756.1	311.3	708	311.3	0	0	NSH	1.388	444.8	2.428846772	2.27433344
403.7	465	230.5	230.5	380	1	0	AM	1.698	234.5	2.017353579	0.606578947
662.1	820.8	481.2	700	481.2	1	0	SSH	0.614	339.6	1.705735661	1.454696592
565.2	723.8	218.3	602	218.3	1	0	NSH	1.476	505.5	3.315620705	2.757672927
409.1	456.9	190	190	360	1	0	AM	1.538	266.9	2.404736842	0.527777778
678.3	744	521.6	647	521.6	1	0	SSH	0.738	222.4	1.426380368	1.24041411
376.8	408.9	205.9	205.9	408.9	0	0	AM	1.137	203	1.985915493	0.503546099
129.2	155.8	80.1	122	155.8	1	0	VI	0.611	75.7	1.945068664	0.783055199
102.3	148.7	67.2	119	148.7	1	0	VI	0.587	81.5	2.212797619	0.800268998
193.8	234.5	18.6	18.6	234.5	0	0	LBA	2.66	215.9	12.60752688	0.079317697
75.4	227.3	21.4	21.4	227.3	0	0	BA	1.441	205.9	10.62149533	0.094148702
414.5	581.5	277	277	581.5	0	0	BLW	4.323	304.5	2.099277978	0.476354256
75.4	90.1	50.8	50.8	90.1	0	0	CRK	0.5	39.3	1.773622047	0.56381798
64.6	70.8	47.2	47.2	47.2	1	0	CRK	0.388	23.6	1.5	1
64.6	76.5	45.7	45.7	76.5	0	0	CRK	0.474	30.8	1.673960613	0.597385621
64.6	74.3	47.2	47.2	47.2	1	0	CRK	0.489	27.1	1.574152542	1
161.5	274.5	22.9	132	152	0	0	TRR	2.198	251.6	11.98689956	0.868421053
274.5	380.5	155.5	155.5	380.5	0	0	AM	1.064	225	2.446945338	0.408672799
134.6	227.4	116	227.4	158	1	0	VI	0.529	111.4	1.960344828	1.439240506
129.2	239	113.7	239	148	1	0	VI	0.614	125.3	2.102022867	1.614864865
107.7	120.7	92.8	92.8	109	1	0	MM	1.7	27.9	1.300646552	0.851376147
274.5	420	155.5	155.5	420	0	0	PRR	1.75	264.5	2.70096463	0.370238095
107.7	125.3	91.6	91.6	125.3	1	0	MM	2.064	33.7	1.36790393	0.731045491
323	417.6	179.8	179.8	417.6	0	0	PRR	1.907	237.8	2.322580645	0.430555556
64.6	74.2	48.1	63	48.1	1	0	CRK	0.586	26.1	1.542619543	1.30977131
59.2	73.7	45.8	61	45.8	1	0	CRK	0.605	27.9	1.609170306	1.331877729
59.2	72.5	42.3	59	42.3	0	0	CRK	0.702	30.2	1.713947991	1.394799054
59.2	66.7	40	56	40	1	0	CRK	0.739	26.7	1.6675	1.4
161.5	229.7	64	174	177	0	0	TRR	1.58	165.7	3.5890625	0.983050847
140	211.6	120.7	154	211.6	1	0	AM	0.56	90.9	1.753106877	0.72778828
96.9	110.8	81.8	100	110.8	1	0	GR	0.285	29	1.354523227	0.902527076
96.9	113.7	87	102	113.7	1	0	GR	0.263	26.7	1.306896552	0.897097625
102.3	120.7	89.3	107	120.7	1	0	GR	0.295	31.4	1.35162374	0.886495443
96.9	111.9	80	80	111.9	0	0	GR	0.244	31.9	1.39875	0.714924039
96.9	113.7	89.3	113.7	113.7	1	0	GR	0.291	24.4	1.273236282	1
129.2	213.3	111.6	138	213.3	1	0	AM	0.661	101.7	1.911290323	0.64697609
791.3	935.2	180.5	180.5	935.2	2	0	TR	0.669	754.7	5.181163435	0.193006843
269.2	938.4	144.4	144.4	938.4	2	0	TR	0.632	794	6.498614958	0.153878943
802.1	1059.8	124.7	124.7	1059.8	2	0	TR	0.587	935.1	8.498797113	0.11766371
263.8	1046.7	170.6	170.6	1046.7	2	0	TR	0.619	876.1	6.135404455	0.16298844
231.5	264.5	187.9	187.9	232	10	0	SI	3.048	76.6	1.407663651	0.809913793
209.9	248.3	183.3	248.3	248.3	1	0	MSI	0.81	65	1.354609929	1
850.6	1396.8	658.9	658.9	1007	1	0	NSH	1.071	737.9	2.119896798	0.654319762
802.1	965.2	640.4	965.2	640.4	0	0	DC	1.206	324.8	1.507183011	1.507183011
317.6	1136.9	199.5	199.5	1136.9	2	0	TR	0.563	937.4	5.698746867	0.175477175
1458.9	1494.2	714.6	714.6	933	1	0	NSH	1.528	779.6	2.090959978	0.765916399
732.1	774.9	524.4	705	524.4	0	0	DC	1.076	250.5	1.477688787	1.344393593
317.6	886.3	185.6	185.6	886.3	2	0	TR	0.619	700.7	4.775323276	0.209409906
845.2	1498.8	765.7	821	765.7	1	0	NSH	1.815	733.1	1.957424579	1.072221497
586.8	719.3	468.7	719.3	468.7	0	0	DC	1.034	250.6	1.534670365	1.534670365
845.2	1596.3	802.8	802.8	1026	1	0	NSH	0.942	793.5	1.988415546	0.78245614
807.5	1095.1	343.4	664	343.4	1	0	NSH	1.163	751.7	3.188992429	1.933605125
393	459.4	245.9	316	376	2	0	AM	1.424	213.5	1.868239122	0.840425532
995.9	1085.9	617.2	1044	617.2	1	0	SSH	0.705	468.7	1.759397278	1.691510045
904.4	923.4	426.9	733	426.9	1	0	NSH	1.397	496.5	2.16303584	1.717029749
393	529	245.9	302	348	1	0	AM	1.449	283.1	2.151281009	0.867816092
1049.7	1081.2	621.8	937	621.8	2	0	SSH	0.797	459.4	1.738822773	1.506915407
823.6	923.4	259.9	687	259.9	1	0	NSH	1.542	663.5	3.552904963	2.643324356
393	454.8	236.7	236.7	362	1	0	AM	1.162	218.1	1.921419518	0.653867403
893.6	1123	580	664	580	1	0	SSH	0.745	543	1.936206897	1.144827586
140	201.9	46.4	46.4	201.9	0	0	LBA	3.278	155.5	4.351293103	0.229816741
107.7	201.9	44.1	44.1	201.9	0	0	BA	2.195	157.8	4.578231293	0.218424963
446.8	519.7	252.9	252.9	519.7	0	0	BLW	5.016	266.8	2.054962436	0.4866269
64.6	74.6	49.2	62	49.2	1	0	CRK	0.562	25.4	1.516260163	1.260162602
64.6	75.5	50	61	50	1	0	CRK	0.536	25.5	1.51	1.22
59.2	72.2	45.9	59	45.9	1	0	CRK	0.614	26.3	1.572984749	1.28540305
59.2	69.7	42.7	57	42	1	0	CRK	0.673	27	1.632318501	1.357142857
172.3	188.2	84	148	188.2	1	0	AM	0.923	104.2	2.24047619	0.78639745
258.4	1071.2	110	110	1071.2	2	0	TR	0.748	961.2	9.738181818	0.102688574
694.4	996	130.3	130.3	996	2	0	TR	0.711	865.7	7.643898695	0.130823293
726.7	1079.9	89.8	89.8	1079.9	2	0	TR	0.721	990.1	12.02561247	0.083155848
102.3	199.8	92.6	153	199.8	1	0	AM	0.906	107.2	2.157667387	0.765765766
107.7	191.1	84	191.1	84	0	0	GR	0.251	107.1	2.275	2.275
107.7	196.9	84	196.9	84	0	0	GR	0.245	112.9	2.344047619	2.344047619
113	182.4	89.8	182.4	89.8	0	0	GR	0.24	92.6	2.031180401	2.031180401
129.2	202.7	95.5	202.7	95.5	0	0	GR	0.249	107.2	2.122513089	2.122513089
102.3	185.3	84	185.3	84	0	0	GR	0.231	101.3	2.205952381	2.205952381
102.3	156.3	69.5	156.3	69.5	0	0	GR	0.184	86.8	2.248920863	2.248920863
457.6	535.6	385.1	452	489	12	0	SI	3.45	150.5	1.390807582	0.924335378
215.3	263.5	188.2	223	229	4	0	MSI	1.192	75.3	1.40010627	0.973799127
802.1	1097.3	570.4	570.4	698	1	0	NSH	2.175	526.9	1.923737728	0.817191977
581.4	628.3	272.2	628.3	272.2	0	0	DC	0.725	356.1	2.308229243	2.308229243
802.1	1010.4	335.8	1010.4	335.8	0	0	SSH	0.656	674.6	3.008933889	3.008933889
689.1	1137.8	648.5	869	648.5	1	0	NSH	2.064	489.3	1.754510409	1.34001542
479.1	622.5	266.4	622.5	266.4	0	0	DC	0.855	356.1	2.336711712	2.336711712
672.9	700.6	379.3	700.6	379.3	0	0	SSH	0.587	321.3	1.847086739	1.847086739
586.8	1056.8	544.3	544.3	857	1	0	NSH	1.875	512.5	1.941576337	0.63512252
581.4	608	379.3	608	379.3	0	0	DC	0.882	228.7	1.602952808	1.602952808
699.8	799.1	396.6	799.1	396.6	2	0	SSH	0.674	402.5	2.01487645	2.01487645
317.6	341.6	191.1	191.1	341.6	0	0	AM	1.071	150.5	1.787545788	0.55942623
145.3	165	79.6	165	165	1	0	VI	0.707	85.4	2.072864322	1
140	153.4	89.8	153.4	153.4	1	0	VI	0.647	63.6	1.708240535	1
140	220	46.3	46.3	220	0	0	LBA	2.854	173.7	4.75161987	0.210454545
150.7	173.7	104.2	130	127	3	0	MSI	1.099	69.5	1.666986564	1.023622047
285.3	370.6	156.3	156.3	301	1	0	AM	1.348	214.3	2.371081254	0.519269103
312.2	1004.6	254.8	254.8	1004.6	0	0	WO	0.212	749.8	3.942700157	0.253633287
323	758.5	283.7	283.7	758.5	0	0	WO	0.222	474.8	2.673598872	0.374027686
479.1	628.3	194	194	628.3	0	0	BLW	4.059	434.3	3.238659794	0.308769696
75.4	87	57.3	72	57.3	1	0	CRK	0.347	29.7	1.518324607	1.256544503
80.7	87	57.3	71	57.3	1	0	CRK	0.411	29.7	1.518324607	1.239092496
70	82.9	53.2	68	53.2	1	0	CRK	0.476	29.7	1.558270677	1.278195489
107.7	141.3	91.1	91.1	141.3	2	0	MM	2.069	50.2	1.55104281	0.64472753
204.6	306.1	126.9	126.9	306.1	0	0	PRR	1.542	179.2	2.41213554	0.414570402
113	148.4	97.2	97.2	148.4	2	0	MM	2.014	51.2	1.526748971	0.654986523
269.2	405.4	139.2	139.2	405.4	0	0	PRR	1.662	266.2	2.912356322	0.343364578
70	80.9	46.1	64	46.1	1	0	CRK	0.619	34.8	1.754880694	1.388286334
64.6	72.7	49.1	62	49.1	1	0	CRK	0.48	23.6	1.480651731	1.262729124
64.6	77.8	45	64	45	1	0	CRK	0.582	32.8	1.728888889	1.422222222
791.3	868	384.9	577	384.9	1	0	NSH	1.776	483.1	2.255131203	1.499090673
403.7	417.6	172	172	417.6	0	0	AM	1.646	245.6	2.427906977	0.411877395
689.1	913.1	274.3	913.1	274.3	2	0	SSH	0.862	638.8	3.32883704	3.32883704
742.9	941.7	380.8	941.7	380.8	2	0	NSH	1.241	560.9	2.472951681	2.472951681
279.9	466.8	192.4	192.4	369	1	0	AM	1.659	274.4	2.426195426	0.521409214
581.4	757.5	266.1	757.5	266.1	2	0	SSH	0.953	491.4	2.846674183	2.846674183
678.3	941.7	380.8	941.7	380.8	2	0	SSH	0.993	560.9	2.472951681	2.472951681
403.7	421.7	200.6	200.6	328	1	0	AM	1.645	221.1	2.10219342	0.611585366
624.5	1027.7	413.5	1027.7	413.5	1	0	SSH	0.745	614.2	2.485368803	2.485368803
102.3	114.3	86.2	114.3	105	1	0	MM	2.678	28.1	1.325986079	1.088571429
258.4	361.3	137.6	137.6	361.3	0	0	PRR	1.607	223.7	2.625726744	0.380846942
96.9	120.1	75.6	75.6	120.1	1	0	MM	2.9	44.5	1.588624339	0.629475437
263.8	410.7	144.3	144.3	410.7	0	0	PRR	1.646	266.4	2.846153846	0.351351351
64.6	76.5	43.6	52	43.6	1	0	CRK	0.979	32.9	1.754587156	1.19266055
59.2	75.6	42.1	60	42.1	1	0	CRK	0.876	33.5	1.795724466	1.425178147
59.2	69.3	44.1	57	44.1	1	0	CRK	0.548	25.2	1.571428571	1.292517007
64.6	73.1	44.6	73.1	44.6	0	0	CRK	0.732	28.5	1.639013453	1.639013453
134.6	201.5	42.6	138	138	0	0	TRR	1.79	158.9	4.730046948	1
156.1	187.9	100.7	100.7	187.9	0	0	AM	0.59	87.2	1.865938431	0.535923363
96.9	130.8	68.8	130.8	68.8	0	0	GR	0.248	62	1.901162791	1.901162791
80.7	90.1	68.8	68.8	68.8	0	0	GR	0.235	21.3	1.309593023	1
80.7	94.9	63	63	63	0	0	GR	0.242	31.9	1.506349206	1
75.4	93	65.9	65.9	65.9	0	0	GR	0.216	27.1	1.411229135	1
75.4	90.1	49.4	49.4	49.4	0	0	GR	0.242	40.7	1.82388664	1
59.2	84.3	45.5	45.5	45.5	0	0	GR	0.274	38.8	1.852747253	1
166.9	180.2	90.1	128	180.2	1	0	AM	0.62	90.1	2	0.710321865
619.1	1032.9	186.3	186.3	1032.9	2	0	TR	0.771	846.6	5.544283414	0.18036596
570.6	865.8	112.3	112.3	865.8	2	0	TR	0.849	753.5	7.709706144	0.12970663
145.3	191.8	82.2	164	191.8	1	0	AM	0.751	109.6	2.333333333	0.855057351
624.5	1143	100.7	100.7	1143	2	0	TR	0.882	1042.3	11.35054618	0.088101487
581.4	1104.3	116.2	116.2	1104.3	2	0	TR	0.777	988.1	9.503442341	0.105225029
640.6	1088.8	604.4	1088.8	721	1	0	NSH	0.986	484.4	1.801455989	1.510124827
613.7	976.4	127.9	127.9	976.4	2	0	TR	0.476	848.5	7.634089132	0.130991397
549.1	813.7	139.5	139.5	813.7	2	0	TR	0.718	674.2	5.83297491	0.171439105
829	995.8	585.1	934	585.1	1	0	NSH	1.397	410.7	1.701931294	1.596308323
597.5	658.7	399.1	585	399.1	1	0	DC	0.62	259.6	1.650463543	1.465798046
565.2	960.9	186	186	960.9	2	0	TR	0.574	774.9	5.166129032	0.19356853
597.5	697.4	201.5	960.9	697.4	2	0	TR	0.627	495.9	3.461042184	1.377831947
689.1	1131.4	650.9	650.9	1131.4	1	0	NSH	1.522	480.5	1.738208634	0.575304932
570.6	1053.9	189.9	189.9	1053.9	2	0	TR	0.646	864	5.549763033	0.180187874
936.7	1030.7	786.6	786.6	984	1	0	NSH	1.13	244.1	1.310322909	0.799390244
592.2	670.3	302.2	670.3	302.2	0	0	DC	1.202	368.1	2.218067505	2.218067505
845.2	922.2	480.5	922.2	480.5	1	0	SSH	0.732	441.7	1.91925078	1.91925078
446.8	577.3	368.1	368.1	446	15	0	SI	4.664	209.2	1.568323825	0.825336323
382.2	496	356.5	399	411	3	0	MSI	1.325	139.5	1.391304348	0.97080292
656.8	774.9	193.7	624	193.7	1	0	NSH	2.025	581.2	4.000516262	3.22147651
489.9	523.1	193.7	193.7	310	1	0	AM	1.75	329.4	2.700567888	0.62483871
549.1	1026.8	368.1	1026.8	368.1	0	0	SSH	0.659	658.7	2.789459386	2.789459386
613.7	1065.5	271.2	690	271.2	3	0	NSH	1.567	794.3	3.928834808	2.544247788
425.3	515.3	186	186	244	1	0	AM	1.999	329.3	2.770430108	0.762295082
559.9	1034.5	267.4	1034.5	267.4	1	0	SSH	0.79	767.1	3.868735976	3.868735976
656.8	697.4	201.5	597	201.5	1	0	NSH	1.182	495.9	3.461042184	2.962779156
409.1	441.7	197.6	197.6	310	1	0	AM	1.809	244.1	2.235323887	0.637419355
780.6	1007.4	286.7	1007.4	286.7	0	0	SSH	0.98	720.7	3.513777468	3.513777468
279.9	395.2	166.6	201	283	1	0	AM	1.79	228.6	2.37214886	0.71024735
161.5	189.9	108.5	170	189.9	1	0	VI	0.536	81.4	1.750230415	0.895208004
140	197.6	104.6	197.6	167	1	0	VI	0.745	93	1.889101338	1.183233533
96.9	204.4	23.2	54	102	0	0	LBA	3.547	181.2	8.810344828	0.529411765
91.5	184	13.6	48	99	0	0	BA	2.462	170.4	13.52941176	0.484848485
